epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,19102.3,0.91664,2.34973,0.91114,1.26115,0.47122,0.38662,0.34597,0.21291,0.42022,0.36059,0.28825,0.14997,1.24947,2.8015,4.9963,1.47931,0.0008516,0.0008516,0.0008516
60,19450.3,0.91493,2.36028,0.91177,1.26354,0.58801,0.33161,0.32996,0.20157,0.47628,0.34015,0.29312,0.14945,1.26804,2.83516,4.73804,1.47079,0.0008318,0.0008318,0.0008318
61,19798.3,0.91209,2.35467,0.91836,1.26107,0.47569,0.38662,0.34266,0.20692,0.43376,0.35502,0.2915,0.15364,1.29867,2.82536,5.3462,1.53593,0.000812,0.000812,0.000812
62,20146.9,0.90183,2.31869,0.89782,1.24932,0.52262,0.36803,0.35023,0.20694,0.47128,0.32714,0.29025,0.14996,1.22367,2.66695,4.97168,1.44512,0.0007922,0.0007922,0.0007922
63,23534.5,0.89494,2.32018,0.88031,1.24998,0.53426,0.35608,0.33539,0.20093,0.47506,0.31041,0.27211,0.14451,1.2419,2.72958,4.93598,1.46968,0.0007724,0.0007724,0.0007724
64,23883.6,0.90494,2.33162,0.897,1.25911,0.56521,0.35874,0.35282,0.21383,0.49585,0.32714,0.29191,0.14883,1.2101,2.75935,4.64542,1.46321,0.0007526,0.0007526,0.0007526
65,24231.5,0.89869,2.31382,0.87582,1.24559,0.61239,0.31413,0.33913,0.20189,0.54355,0.27881,0.27675,0.13838,1.21691,2.76839,5.48899,1.45924,0.0007328,0.0007328,0.0007328
66,24579,0.89096,2.29091,0.87506,1.24569,0.61293,0.31413,0.33671,0.20316,0.43538,0.33271,0.28703,0.14817,1.17441,2.71494,5.01191,1.39991,0.000713,0.000713,0.000713
67,24926.7,0.88529,2.27459,0.86341,1.24116,0.50758,0.34387,0.3407,0.20946,0.45637,0.31052,0.28033,0.15088,1.21021,2.7229,5.65255,1.45848,0.0006932,0.0006932,0.0006932
68,25274.6,0.874,2.26249,0.86049,1.22811,0.48384,0.39405,0.35263,0.21783,0.44031,0.35973,0.29759,0.15789,1.18385,2.63577,4.38089,1.40494,0.0006734,0.0006734,0.0006734
69,25622,0.88461,2.27538,0.85664,1.23981,0.55233,0.34201,0.33524,0.20773,0.50639,0.32714,0.28852,0.15426,1.2115,2.70332,5.0616,1.43917,0.0006536,0.0006536,0.0006536
70,25968.9,0.87477,2.2736,0.85028,1.23087,0.55885,0.33271,0.34119,0.20933,0.48487,0.31492,0.28759,0.14824,1.20951,2.70896,4.12772,1.44365,0.0006338,0.0006338,0.0006338
71,26316.3,0.87681,2.27075,0.85009,1.23376,0.54467,0.33086,0.33801,0.20974,0.48975,0.29926,0.28631,0.15171,1.22462,2.81906,5.65697,1.4604,0.000614,0.000614,0.000614
72,26664,0.87342,2.26888,0.84039,1.22952,0.55126,0.36059,0.34707,0.21911,0.49819,0.32109,0.29255,0.15893,1.32973,2.91664,3.99046,1.56725,0.0005942,0.0005942,0.0005942
73,27012,0.86255,2.23933,0.83603,1.22261,0.54036,0.34201,0.34804,0.21632,0.43833,0.32348,0.28607,0.1506,1.22391,2.72988,4.52062,1.46634,0.0005744,0.0005744,0.0005744
74,27359.4,0.85646,2.21462,0.82529,1.22434,0.52133,0.35316,0.34026,0.21185,0.45201,0.32714,0.28201,0.14813,1.26071,2.85977,4.84462,1.49398,0.0005546,0.0005546,0.0005546
75,27707.1,0.8548,2.23179,0.81699,1.21989,0.52904,0.36617,0.34333,0.21166,0.45575,0.33643,0.28029,0.14642,1.23934,2.8469,4.53725,1.46662,0.0005348,0.0005348,0.0005348
76,28055.1,0.85245,2.20512,0.81704,1.21389,0.57156,0.34758,0.33984,0.21296,0.44115,0.3272,0.28126,0.14942,1.18883,2.69007,4.63926,1.4383,0.000515,0.000515,0.000515
77,28403.7,0.85062,2.18798,0.80474,1.20965,0.55369,0.36617,0.35,0.21769,0.45862,0.329,0.28143,0.14757,1.22474,2.78214,5.07419,1.48456,0.0004952,0.0004952,0.0004952
78,28770.1,0.83874,2.19465,0.8024,1.21028,0.57707,0.33086,0.33996,0.21413,0.42731,0.33457,0.28089,0.15278,1.20179,2.78297,4.56883,1.44153,0.0004754,0.0004754,0.0004754
79,29141.6,0.84758,2.17808,0.7975,1.21128,0.54902,0.34848,0.33911,0.20914,0.48361,0.31784,0.28564,0.15072,1.26619,2.7639,4.42666,1.4954,0.0004556,0.0004556,0.0004556
80,29489.4,0.84145,2.15554,0.80121,1.20409,0.54381,0.34344,0.35042,0.22482,0.42475,0.34572,0.28728,0.15699,1.2,2.73957,4.07795,1.4485,0.0004358,0.0004358,0.0004358
81,29837.3,0.8381,2.16919,0.80136,1.20604,0.58078,0.32714,0.33322,0.2128,0.51399,0.28625,0.27692,0.14894,1.21104,2.82046,4.33611,1.46194,0.000416,0.000416,0.000416
82,30184.6,0.83472,2.16244,0.79051,1.20417,0.53132,0.35611,0.33621,0.20887,0.47293,0.31784,0.27677,0.14606,1.20631,2.86406,4.31797,1.47716,0.0003962,0.0003962,0.0003962
83,30532.5,0.82947,2.14265,0.76973,1.19749,0.52997,0.34371,0.32703,0.20549,0.43907,0.32342,0.27305,0.1421,1.23671,2.90562,4.79214,1.49678,0.0003764,0.0003764,0.0003764
84,30880.6,0.82777,2.12637,0.77711,1.19947,0.51403,0.37158,0.33436,0.21144,0.45788,0.34201,0.28792,0.15088,1.2377,3.03096,4.89583,1.50283,0.0003566,0.0003566,0.0003566
85,31229,0.82617,2.12938,0.7756,1.19188,0.57182,0.35874,0.34182,0.2165,0.5111,0.32528,0.29194,0.15323,1.27481,3.02253,4.74491,1.54446,0.0003368,0.0003368,0.0003368
86,31577.2,0.8263,2.13673,0.77779,1.19432,0.55075,0.35548,0.33892,0.21154,0.46937,0.31599,0.27313,0.14691,1.21985,2.95449,4.15123,1.4894,0.000317,0.000317,0.000317
87,31926,0.81446,2.12065,0.76106,1.19237,0.58246,0.35264,0.33971,0.20877,0.51694,0.32156,0.28845,0.15068,1.22257,2.94222,4.3127,1.48142,0.0002972,0.0002972,0.0002972
88,32274.7,0.82243,2.10632,0.75261,1.19107,0.5451,0.37196,0.33981,0.20829,0.50467,0.33829,0.29328,0.15262,1.22737,2.99492,4.27351,1.49061,0.0002774,0.0002774,0.0002774
89,32623.8,0.81374,2.10864,0.75995,1.18493,0.55836,0.3513,0.33979,0.21345,0.45365,0.32714,0.28437,0.14812,1.23853,3.07642,3.96623,1.4868,0.0002576,0.0002576,0.0002576
90,32973.3,0.81321,2.11641,0.75886,1.18712,0.51864,0.3765,0.34271,0.21435,0.47269,0.34201,0.28535,0.14892,1.22051,3.00273,4.12998,1.47342,0.0002378,0.0002378,0.0002378
91,33306.7,0.75855,1.96388,0.65846,1.20315,0.5322,0.34468,0.32951,0.20177,0.49196,0.31599,0.27424,0.14195,1.21402,3.03563,4.86452,1.45712,0.000218,0.000218,0.000218
92,33639.7,0.74801,1.93422,0.63514,1.19738,0.53883,0.3513,0.33629,0.20596,0.48599,0.31809,0.27583,0.14293,1.22179,2.94068,4.37253,1.45268,0.0001982,0.0001982,0.0001982
93,33972.8,0.73898,1.90993,0.62305,1.18869,0.57405,0.34569,0.34034,0.21052,0.49935,0.31784,0.2843,0.14598,1.24061,3.04881,4.03937,1.4628,0.0001784,0.0001784,0.0001784
94,34306.3,0.73495,1.88959,0.61056,1.18668,0.51817,0.35874,0.33988,0.21241,0.51298,0.3197,0.28545,0.15057,1.24562,3.04685,4.47815,1.46363,0.0001586,0.0001586,0.0001586
95,34639.7,0.72626,1.86933,0.60792,1.17488,0.57647,0.33901,0.33604,0.20773,0.52529,0.30483,0.27848,0.1479,1.24658,3.07202,4.11698,1.47089,0.0001388,0.0001388,0.0001388
96,34973.4,0.71406,1.85976,0.60024,1.17171,0.57377,0.3403,0.34102,0.21135,0.50924,0.30855,0.27848,0.1497,1.24498,3.07508,4.06175,1.47645,0.000119,0.000119,0.000119
97,35307.1,0.71204,1.84865,0.59936,1.17429,0.58703,0.33643,0.34138,0.21167,0.55776,0.29368,0.28092,0.1484,1.22613,3.0779,4.26284,1.46565,9.92e-05,9.92e-05,9.92e-05
98,35641,0.71153,1.84912,0.59587,1.16873,0.48882,0.36989,0.33752,0.20956,0.56262,0.29368,0.27561,0.14666,1.22274,3.07769,4.24206,1.45258,7.94e-05,7.94e-05,7.94e-05
99,35974.9,0.70421,1.83503,0.58591,1.16685,0.49275,0.37361,0.34175,0.21355,0.56262,0.29887,0.28541,0.15127,1.21456,3.08278,4.05484,1.45142,5.96e-05,5.96e-05,5.96e-05
100,36308.8,0.70334,1.84334,0.59266,1.1674,0.50628,0.37167,0.3398,0.21064,0.46794,0.33086,0.28056,0.14866,1.21494,3.13477,4.01099,1.45282,3.98e-05,3.98e-05,3.98e-05
